          1.00000000          1.00000000
         3       181
          4.33333333         21.66666667         35.00000000
          4.33333333         21.66666667         37.00000000
          4.33333333         21.66666667         39.00000000
         13.00000000          4.33333333          1.00000000
         13.00000000          4.33333333          3.00000000
         13.00000000          4.33333333          5.00000000
         13.00000000          4.33333333          7.00000000
         13.00000000          4.33333333          9.00000000
         13.00000000          4.33333333         11.00000000
         13.00000000          4.33333333         13.00000000
         13.00000000          4.33333333         15.00000000
         13.00000000          4.33333333         17.00000000
         13.00000000          4.33333333         19.00000000
         13.00000000          4.33333333         21.00000000
         13.00000000          4.33333333         23.00000000
         13.00000000          4.33333333         25.00000000
         13.00000000          4.33333333         27.00000000
         13.00000000          4.33333333         29.00000000
         13.00000000          4.33333333         31.00000000
         13.00000000          4.33333333         33.00000000
         13.00000000          4.33333333         35.00000000
         13.00000000          4.33333333         37.00000000
         13.00000000          4.33333333         39.00000000
         13.00000000         13.00000000          1.00000000
         13.00000000         13.00000000          3.00000000
         13.00000000         13.00000000          5.00000000
         13.00000000         13.00000000          7.00000000
         13.00000000         13.00000000          9.00000000
         13.00000000         13.00000000         11.00000000
         13.00000000         13.00000000         13.00000000
         13.00000000         13.00000000         15.00000000
         13.00000000         13.00000000         17.00000000
         13.00000000         13.00000000         19.00000000
         13.00000000         13.00000000         21.00000000
         13.00000000         13.00000000         23.00000000
         13.00000000         13.00000000         25.00000000
         13.00000000         13.00000000         27.00000000
         13.00000000         13.00000000         29.00000000
         13.00000000         13.00000000         31.00000000
         13.00000000         13.00000000         33.00000000
         13.00000000         13.00000000         35.00000000
         13.00000000         13.00000000         37.00000000
         13.00000000         13.00000000         39.00000000
         13.00000000         21.66666667          1.00000000
         13.00000000         21.66666667          3.00000000
         13.00000000         21.66666667          5.00000000
         13.00000000         21.66666667          7.00000000
         13.00000000         21.66666667          9.00000000
         13.00000000         21.66666667         11.00000000
         13.00000000         21.66666667         13.00000000
         13.00000000         21.66666667         15.00000000
         13.00000000         21.66666667         17.00000000
         13.00000000         21.66666667         19.00000000
         13.00000000         21.66666667         21.00000000
         13.00000000         21.66666667         23.00000000
         13.00000000         21.66666667         25.00000000
         13.00000000         21.66666667         27.00000000
         13.00000000         21.66666667         29.00000000
         13.00000000         21.66666667         31.00000000
         13.00000000         21.66666667         33.00000000
         13.00000000         21.66666667         35.00000000
         13.00000000         21.66666667         37.00000000
         13.00000000         21.66666667         39.00000000
         21.66666667          4.33333333          1.00000000
         21.66666667          4.33333333          3.00000000
         21.66666667          4.33333333          5.00000000
         21.66666667          4.33333333          7.00000000
         21.66666667          4.33333333          9.00000000
         21.66666667          4.33333333         11.00000000
         21.66666667          4.33333333         13.00000000
         21.66666667          4.33333333         15.00000000
         21.66666667          4.33333333         17.00000000
         21.66666667          4.33333333         19.00000000
         21.66666667          4.33333333         21.00000000
         21.66666667          4.33333333         23.00000000
         21.66666667          4.33333333         25.00000000
         21.66666667          4.33333333         27.00000000
         21.66666667          4.33333333         29.00000000
         21.66666667          4.33333333         31.00000000
         21.66666667          4.33333333         33.00000000
         21.66666667          4.33333333         35.00000000
         21.66666667          4.33333333         37.00000000
         21.66666667          4.33333333         39.00000000
         21.66666667         13.00000000          1.00000000
         21.66666667         13.00000000          3.00000000
         21.66666667         13.00000000          5.00000000
         21.66666667         13.00000000          7.00000000
         21.66666667         13.00000000          9.00000000
         21.66666667         13.00000000         11.00000000
         21.66666667         13.00000000         13.00000000
         21.66666667         13.00000000         15.00000000
         21.66666667         13.00000000         17.00000000
         21.66666667         13.00000000         19.00000000
         21.66666667         13.00000000         21.00000000
         21.66666667         13.00000000         23.00000000
         21.66666667         13.00000000         25.00000000
         21.66666667         13.00000000         27.00000000
         21.66666667         13.00000000         29.00000000
         21.66666667         13.00000000         31.00000000
         21.66666667         13.00000000         33.00000000
         21.66666667         13.00000000         35.00000000
         21.66666667         13.00000000         37.00000000
         21.66666667         13.00000000         39.00000000
         21.66666667         21.66666667          1.00000000
         21.66666667         21.66666667          3.00000000
         21.66666667         21.66666667          5.00000000
         21.66666667         21.66666667          7.00000000
         21.66666667         21.66666667          9.00000000
         21.66666667         21.66666667         11.00000000
         21.66666667         21.66666667         13.00000000
         21.66666667         21.66666667         15.00000000
         21.66666667         21.66666667         17.00000000
         21.66666667         21.66666667         19.00000000
         21.66666667         21.66666667         21.00000000
         21.66666667         21.66666667         23.00000000
         21.66666667         21.66666667         25.00000000
         21.66666667         21.66666667         27.00000000
         21.66666667         21.66666667         29.00000000
         21.66666667         21.66666667         31.00000000
         21.66666667         21.66666667         33.00000000
         21.66666667         21.66666667         35.00000000
         21.66666667         21.66666667         37.00000000
         21.66666667         21.66666667         39.00000000
